Name,Need,Quantity,Store
Almond Butter - Crunchy,No,,
Asparagus,No,,Ralph's
Baby Corn,No,,
Bananas,No,,
Beans - Black beans,No,,
Beans - Chickpeas,No,,Ralph's
Beans - Chili,No,,
Beans - Red kidney,No,,
Beans - Refried,No,,
Beans - Tri Blend,No,,
Bell pepper,No,,Ralph's
Beyond burger patties,No,,
BioTrue contact solution,No,,
Black Olives,No,,Ralph's
"Boullion ",No,,
Bread - Bagguettetee 🤌,No,,Ralph's
Bread - English muffins,No,,
Bread - Sliced,No,,"Costco, Ralph's"
Broccoli,No,,
Broccolini,No,,
Butter,No,,
Carrots,No,,
Cashews,No,,
Celery,No,,Ralph's
Cheese - Chao,No,,Ralph's
Cheese - Parm,No,,
Cheese - Shreds,No,,Ralph's
Chicken Nuggets 🌱,No,,
Chili Garlic,No,,
Cholula,No,,
Cilantro,No,,
Cliff Bar,No,,
Coffee,No,,
Corn,No,,
Corn Starch,No,,
Covid Tests,No,2,
Dumplings,No,,Ralph's
Fritos,No,,
Garlic - Minced,No,,
Garlic - Raw,No,,
Ginger,No,,
Ginger beer,No,,
Granola,No,,
"Granola bars ",No,,
Green onions,No,,
Guacamole,No,,North Gate
Hash Browns,No,,"Ralph's, Trader Joe's"
Hi Ball - Lemon Lime,No,,
Hummus,No,,
Impossible meat,No,,
Jalapenos,No,,
Jar of roasted red peppers with juice,No,2,
Jelly,No,,
Just Egg,No,,
Kale,No,,
Lasagna Noodles,No,,
Laundry Detergent,No,,
Lemon Juice,No,,
Lettuce,No,,
Lime juice,No,,
Method Dish Soap,No,,
N,No,,
Nooch (Nutritional Yeast),No,,
Oat Milk,No,,
Olive Oil,No,,
Onions,No,2,Ralph's
PB 2,No,,
Peanut butter,No,,
Pistachios,No,,
Pizza Crust,No,,
Pizza Sauce,No,,Ralph's
Potato chips,No,,
Potatoes,No,,
Ramen,No,,Ralph's
Ranch,No,,
Rice,No,,
Rice Noodles,No,,
Salad dressing,No,,
Salsa,No,,
Salt and Balsamic Vinegar Chips,No,,Ralph's
Seltzers,No,,
Snacks,No,,
Soup,No,,
Sour Cream,No,,
Soy Sauce,No,,
Spaghetti,No,,
Spaghetti sauce - Square jar,No,2,
Spinach,No,,
Sriracha,No,,
Sushi,No,,Ralph's
Sweet Potato,No,2,Ralph's
Taco Bell seasoning,No,,
Tater tots,No,,
Tea,No,,
Tempeh,No,,Ralph's
Tissues,No,,
Tofu,No,,
Toilet paper,No,,
Tomato - Paste,No,,
Tomato Juice - Low Sodium,No,,
Tomatoes,No,,
Tomatoes - Cherry,No,,Ralph's
Tomatoes - Fire roasted,No,,
Toothbrush,No,,
Toothpaste,No,,
Tortilla chips,No,,
Tortillas,No,,"North Gate, Ralph's"
Tostadas,No,,
Turkey 🌱,No,,Ralph's
Vegetable oil,No,,
Vegetable stock,No,,
"Water Chestnuts ",No,,
Wine,No,,
"Zucchini ",No,,