,Name,Quantity
0,Almond Butter - Crunchy,1.0
1,Asparagus,1.0
2,Baby Corn,1.0
3,Bananas,1.0
4,Beans - Black beans,1.0
5,Beans - Chickpeas,1.0
6,Beans - Chili,1.0
7,Beans - Red kidney,1.0
8,Beans - Refried,1.0
9,Beans - Tri Blend,1.0
10,Bell pepper,1.0
11,Beyond burger patties,1.0
12,BioTrue contact solution,1.0
13,Black Olives,1.0
14,Boullion ,1.0
15,Bread - Bagguettetee ðŸ¤Œ,1.0
16,Bread - English muffins,1.0
17,Bread - Sliced,1.0
18,Broccoli,1.0
19,Broccolini,1.0
20,Butter,1.0
21,Carrots,1.0
22,Cashews,1.0
23,Celery,1.0
24,Cheese - Chao,1.0
25,Cheese - Parm,1.0
26,Cheese - Shreds,1.0
27,Chicken Nuggets ðŸŒ±,1.0
28,Chili Garlic,1.0
29,Cholula,1.0
30,Cilantro,1.0
31,Cliff Bar,1.0
32,Coffee,1.0
33,Corn,1.0
34,Corn Starch,1.0
35,Covid Tests,2.0
36,Dumplings,1.0
37,Fritos,1.0
38,Garlic - Minced,1.0
39,Garlic - Raw,1.0
40,Ginger,1.0
41,Ginger beer,1.0
42,Granola,1.0
43,Granola bars ,1.0
44,Green onions,1.0
45,Guacamole,1.0
46,Hash Browns,1.0
47,Hi Ball - Lemon Lime,1.0
48,Hummus,1.0
49,Impossible meat,1.0
50,Jalapenos,1.0
51,Jar of roasted red peppers with juice,2.0
52,Jelly,1.0
53,Just Egg,1.0
54,Kale,1.0
55,Lasagna Noodles,1.0
56,Laundry Detergent,1.0
57,Lemon Juice,1.0
58,Lettuce,1.0
59,Lime juice,1.0
60,Method Dish Soap,1.0
61,N,1.0
62,Nooch (Nutritional Yeast),1.0
63,Oat Milk,1.0
64,Olive Oil,1.0
65,Onions,2.0
66,PB 2,1.0
67,Peanut butter,1.0
68,Pistachios,1.0
69,Pizza Crust,1.0
70,Pizza Sauce,1.0
71,Potato chips,1.0
72,Potatoes,1.0
73,Ramen,1.0
74,Ranch,1.0
75,Rice,1.0
76,Rice Noodles,1.0
77,Salad dressing,1.0
78,Salsa,1.0
79,Salt and Balsamic Vinegar Chips,1.0
80,Seltzers,1.0
81,Snacks,1.0
82,Soup,1.0
83,Sour Cream,1.0
84,Soy Sauce,1.0
85,Spaghetti,1.0
86,Spaghetti sauce - Square jar,2.0
87,Spinach,1.0
88,Sriracha,1.0
89,Sushi,1.0
90,Sweet Potato,2.0
91,Taco Bell seasoning,1.0
92,Tater tots,1.0
93,Tea,1.0
94,Tempeh,1.0
95,Tissues,1.0
96,Tofu,1.0
97,Toilet paper,1.0
98,Tomato - Paste,1.0
99,Tomato Juice - Low Sodium,1.0
100,Tomatoes,1.0
101,Tomatoes - Cherry,1.0
102,Tomatoes - Fire roasted,1.0
103,Toothbrush,1.0
104,Toothpaste,1.0
105,Tortilla chips,1.0
106,Tortillas,1.0
107,Tostadas,1.0
108,Turkey ðŸŒ±,1.0
109,Vegetable oil,1.0
110,Vegetable stock,1.0
111,Water Chestnuts ,1.0
112,Wine,1.0
113,Zucchini ,1.0
